11A13gjEOeJJFa2cbU9Pksqfq5Mm7TYtr	12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	folder	05_weekly-challenge-2
1T5tlAKBUq385Bn1mPIlwqmjV4E1YzDYm	12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	folder	04_explore-the-tidyverse
1XTx8K7-FyIXLB9GbdEKWQoloktCr3iOM	12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	folder	03_learning-about-r-packages
1gKu9yU2b1leJTBWtSLhiSIY2yBu-Sys2	12F3BMD5ysT7csjbi9c33OkCkD_CdyVoT	folder	01_understand-basic-programming-concepts
1RQs3rJj3Co6tl6G5MWLE2Qn2xmu0QO3c	19VwswwU21pW0A2Z7US_XpjLYvKniNNsO	folder	02_explore-aesthetics-in-analysis
1sQx5t8FIE6K-x8yncwpkhspQ8lN5wBfn	19VwswwU21pW0A2Z7US_XpjLYvKniNNsO	folder	04_weekly-challenge-4
1fyY9-Xf9dv-olw2sUylsCedLzIgVIVhb	19VwswwU21pW0A2Z7US_XpjLYvKniNNsO	folder	03_annotate-and-save-visualizations
1_ZgmTihaw3OWhxf5PWxbQuXgs9oZpH14	19VwswwU21pW0A2Z7US_XpjLYvKniNNsO	folder	01_create-data-visualizations-in-r
1jaEmnOP9_9EqE9POqDBEszJY8o9_xKjq	15ddl21jlZo-gbgmZh17bxGNau3-ZCamy	folder	02_cleaning-data
1OFY4RQYl90i1_NfwRk_iRi7ArerVi-HO	15ddl21jlZo-gbgmZh17bxGNau3-ZCamy	folder	01_explore-data-and-r
1a42SgZZiXKzvKVyw58MM5vj0-_tk0zCQ	15ddl21jlZo-gbgmZh17bxGNau3-ZCamy	folder	04_weekly-challenge-3
1kjyBNufSGSf3InJTEARHCOiEpDhtk7G3	15ddl21jlZo-gbgmZh17bxGNau3-ZCamy	folder	03_take-a-closer-look-at-the-data
1SHds_qEBnJL4Np4d2o6jPivEwN_u6MMC	1TMs_s2mzYX81_K8PAYiMXTWkHQDnd47h	folder	01_the-exciting-world-of-programming
1YhBKuyoDb8k8_f7zZJfohLMUiw_zVKe9	1TMs_s2mzYX81_K8PAYiMXTWkHQDnd47h	folder	02_programming-as-a-data-analyst
16LN8WcfwVjbKZIctq8_RiB1pthscDMkY	1TMs_s2mzYX81_K8PAYiMXTWkHQDnd47h	folder	04_weekly-challenge-1
1nsy9HR_WMul1lHX2YLQVKFV3xGGxH3BX	1TMs_s2mzYX81_K8PAYiMXTWkHQDnd47h	folder	03_learn-programming-using-rstudio
1Q7yduvJklsXFbQN9cXe20usQhGIG4J6_	1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	folder	01_develop-documentation-and-reports-in-rstudio
1GC6kaOFw1v7Kr4ks3A2Yr3xJ6s_uDXWk	1xIE6k2_2495A4OGD_JIcyNo5zpnpac1O	folder	02_create-r-markdown-documents
