1wSsF4rzsbe-uO-XtlNSIvP_M_-YLAVQh	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	04_self-reflection-business-cases_quiz.html
1b15FROkvFFH7fZ4MrHDO2qxrNScgkdF0	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	05_alex-fair-and-ethical-data-decisions.en.txt
1BWI41fl6wCg8LZFmYMw0KZzCfJijZlzE	10Ji1o9lspqD9iPEqT5ANYJxE--QUs166	06_test-your-knowledge-on-making-fair-business-decisions_quiz.html
1mmbIVShN3CNqqxiv9rR45VdFMv4Arhfq	10iholsQwojhOwI6MiWuuU3vmPoPFTIJ7	01_glossary-terms-and-definitions_instructions.html
1dFgRUVBJKZYn3lbL86V7erQlF4IjnreY	10iholsQwojhOwI6MiWuuU3vmPoPFTIJ7	01_glossary-terms-and-definitions_Course_1_Week_1_Glossary___DA_terms_and_definitions.docx
174VbDjYVBa7EmdcAdDZdLxfJdS_LnkWQ	10iholsQwojhOwI6MiWuuU3vmPoPFTIJ7	02_weekly-challenge-1_exam.html
1IQrRTqXpXPgW2aBXU_k5fBaTvOWG7a-4	12cIXqjiNJKqswHjsvyCKW30kvOEaelrZ	01__resources.html
19Ajnr0HyLVc-AFnExUIU15xFkvFpJzB9	12cIXqjiNJKqswHjsvyCKW30kvOEaelrZ	01__samplesize.html
131yyQLf1WqBoniXVpdjb0jQL_TA_zgnt	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	01_smart-questions.mp4
1O_fzcK_Mt42gr9x5ixiBgjVprh2onsjv	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	04_evan-data-opens-doors.mp4
1qa30F1f-6R5_5JRGc9scwOHXTpC6Fz3W	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	01_smart-questions.en.txt
1XRkYry9Zcgku_Kkzrv1K9FxGCtqJ7DuN	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	05_self-reflection-ask-your-own-smart-questions_quiz.html
1wmSTg9aTKhp5Rk57s5KrNw0rAycEXmZ8	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	03_self-reflection-data-analyst-scenarios_quiz.html
13sRsQsx307V8AtcQb0KjISxRwFt61hjv	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	06_test-your-knowledge-on-crafting-effective-questions_quiz.html
1BjC8fGgbIxzmZSzR8_WYLq4IZGWdXS_-	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	02_more-about-smart-questions_instructions.html
1bigSLoIsOu-hM0-rZ0L7Fit5bu5mF4J-	11o4LJ5QVJ-ZHEotxzyviTZOujjnQJSZA	04_evan-data-opens-doors.en.txt
16Frh-pDy_YDBw2iQwiDNFnd5kIx0oQy5	11cZMQxR-aQTO5umIF4tYt6x7tHtP_kHB	01_security-features-in-spreadsheets.mp4
